Poll,Date,Favorability,Unfavorability
Emerson,3/18 - 3/20,47,49
Economist/YouGov,3/12 - 3/15,43,53
Politico/Morning Consult,3/11 - 3/14,42,55
Economist/YouGov,3/5 - 3/8,49,48
Politico/Morning Consult,3/4 - 3/6,45,51
Wall Street Journal,3/2 - 3/7,41,56
Economist/YouGov,2/26 - 3/1,46,51
Politico/Morning Consult,2/25 - 2/27,42,55
Harvard-Harris,2/23 - 2/24,37,54
FOX News,2/19 - 2/22,43,56
Economist/YouGov,2/19 - 2/22,45,50
Politico/Morning Consult,2/19 - 2/21,46,51
Economist/YouGov,2/12 - 2/15,44,52
Politico/Morning Consult,2/12 - 2/13,44,54
Economist/YouGov,2/5 - 2/8,43,52
Federalist/Susquehanna,2/3 - 2/9,48,51
Politico/Morning Consult,2/5 - 2/6,42,55
Economist/YouGov,1/29 - 2/1,47,50
Politico/Morning Consult,1/28 - 1/30,45,52
Economist/YouGov,1/22 - 1/25,43,53
Politico/Morning Consult,1/22 - 1/23,43,54
Harvard-Harris,1/19 - 1/20,39,53
Economist/YouGov,1/15 - 1/18,45,52
NBC News,1/14 - 1/18,39,48
Politico/Morning Consult,1/15 - 1/16,43,54
Economist/YouGov,1/8 - 1/11,46,49
Politico/Morning Consult,1/8 - 1/9,44,53
Economist/YouGov,1/2 - 1/4,45,50
Economist/YouGov,12/19 - 12/21,44,52
Politico/Morning Consult,12/18 - 12/20,45,51
CNBC/Change Research (D),12/17 - 12/20,38,56
Economist/YouGov,12/12 - 12/14,48,50
Politico/Morning Consult,12/11 - 12/13,46,51
Economist/YouGov,12/4 - 12/7,45,53
Politico/Morning Consult,12/4 - 12/6,45,51
Harvard-Harris,11/30 - 12/2,44,51
Economist/YouGov,11/27 - 11/30,47,49
Economist/YouGov,11/20 - 11/23,47,50
Wall Street Journal,11/16 - 11/22,43,54
Economist/YouGov,11/14 - 11/16,45,52
Politico/Morning Consult,11/13 - 11/15,45,52
Economist/YouGov,11/6 - 11/9,48,48
Politico/Morning Consult,11/5 - 11/7,46,51
Federalist/Susquehanna,11/1 - 11/9,41,53
USA Today/Suffolk,11/3 - 11/5,39,58
Economist/YouGov,10/30 - 11/2,45,51
Politico/Morning Consult,10/30 - 11/1,46,51
Harvard-Harris,10/26 - 10/28,43,50
Economist/YouGov,10/24 - 10/26,48,48
NBC News,10/23 - 10/26,40,48
